capacidade_estadio,publico_estadio,time_casa,valor_mercado_casa,valor_mercado_media_casa,media_idade_casa,jogadores_de_selecao_casa,jogadores_de_sub_selecao_casa,estrangeiros_casa,gols_casa,posse_casa,socios_torcedores_casa,tentativas_casa,chutes_fora_casa,defesa_casa,escanteios_casa,cobrancas_falta_casa,faltas_cometidas_casa,impedimentos_casa,time_fora,valor_mercado_fora,valor_mercado_media_fora,media_idade_fora,jogadores_de_selecao_fora,jogadores_de_sub_selecao_fora,estrangeiros_fora,socios_torcedores_fora,gols_fora,posse_fora,tentativas_fora,chutes_fora_fora,defesa_fora,escanteios_fora,cobrancas_falta_fora,faltas_cometidas_fora,impedimentos_fora,ano,fase
82.238,20.787,Fluminense FC,66750.0,1850.0,28.2,6.0,2.0,9.0,0,66,48280.0,26,11,1,8,18,14,0,Santos FC,88750.0,2610.0,26.7,3.0,2.0,8.0,70773.0,0,34,3,2,6,1,14,18,4,2022,1.Rodada
43.600,27.100,SE Palmeiras,228450.0,7370.0,25.8,7.0,1.0,8.0,2,56,175974.0,17,8,6,11,14,17,3,Ceará SC,25600.0,731.0,28.5,0.0,0.0,5.0,10236.0,3,44,19,8,2,8,17,14,0,2022,1.Rodada
37.182,18.600,Coritiba FC,16500.0,569.0,27.8,1.0,0.0,4.0,3,51,38000.0,17,3,0,7,11,10,3,Goiás EC,13800.0,460.0,28.1,0.0,0.0,3.0,0.0,0,49,7,5,6,3,10,12,2,2022,1.Rodada
57.018,37.531,Atlético Mineiro,87500.0,3020.0,27.1,3.0,2.0,7.0,2,52,85000.0,15,8,1,3,16,12,2,SC Internacional,97050.0,2370.0,25.3,4.0,3.0,9.0,142000.0,0,48,6,4,3,3,12,18,0,2022,1.Rodada
46.931,34.344,Botafogo FR,119000.0,3970.0,25.8,4.0,3.0,5.0,1,56,56417.0,9,4,5,2,17,6,0,SC Corinthians,111250.0,3370.0,26.4,5.0,2.0,10.0,116188.0,3,44,15,5,3,4,6,18,1,2022,1.Rodada
60.326,18.279,Fortaleza EC,47150.0,1630.0,30.0,2.0,1.0,10.0,0,65,34119.0,22,7,3,7,19,22,1,Cuiabá EC,12500.0,417.0,24.8,0.0,0.0,1.0,0.0,1,35,9,3,5,1,21,23,0,2022,1.Rodada
72.039,20.606,São Paulo FC,76850.0,2260.0,27.0,7.0,0.0,7.0,4,54,151724.0,18,7,0,5,14,17,2,Athletico Paranaense,38300.0,1200.0,26.3,1.0,3.0,8.0,0.0,0,46,7,5,4,5,17,14,2,2022,1.Rodada
17.800,5.081,Avaí FC,8150.0,313.0,29.7,0.0,0.0,1.0,1,58,9327.0,13,8,1,6,17,20,3,América Mineiro,13830.0,419.0,26.2,0.0,0.0,2.0,1225.0,0,42,7,3,1,1,18,18,2,2022,1.Rodada
23.726,3.300,EC Juventude,15130.0,445.0,28.1,1.0,0.0,4.0,2,50,3020.0,13,3,1,5,16,16,5,RB Bragantino,66600.0,2300.0,25.0,4.0,0.0,7.0,0.0,2,50,15,8,6,4,16,17,1,2022,1.Rodada
14.525,12.864,Goiás EC,13800.0,460.0,28.1,0.0,0.0,3.0,1,25,0.0,9,2,5,2,6,16,0,SE Palmeiras,228450.0,7370.0,25.8,7.0,1.0,8.0,175974.0,1,75,22,11,5,6,13,7,2,2022,2.Rodada
25.000,1.559,América Mineiro,13830.0,419.0,26.2,0.0,0.0,2.0,4,46,1225.0,22,9,3,5,11,19,2,EC Juventude,15130.0,445.0,28.1,1.0,0.0,4.0,3020.0,1,54,13,3,5,5,18,11,2,2022,2.Rodada
49.205,30.335,SC Corinthians,111250.0,3370.0,26.4,5.0,2.0,10.0,3,54,116188.0,14,6,5,7,11,22,1,Avaí FC,8150.0,313.0,29.7,0.0,0.0,1.0,9327.0,0,46,15,7,1,2,22,12,5,2022,2.Rodada
42.968,10.791,Cuiabá EC,12500.0,417.0,24.8,0.0,0.0,1.0,0,39,0.0,5,1,3,2,13,18,1,Fluminense FC,66750.0,1850.0,28.2,6.0,2.0,9.0,48280.0,1,61,12,8,1,5,16,14,0,2022,2.Rodada
20.120,13.052,Santos FC,88750.0,2610.0,26.7,3.0,2.0,8.0,2,35,70773.0,15,5,5,4,10,22,2,Coritiba FC,16500.0,569.0,27.8,1.0,0.0,4.0,38000.0,1,65,22,9,6,7,21,10,0,2022,2.Rodada
13.212,2.351,RB Bragantino,66600.0,2300.0,25.0,4.0,0.0,7.0,4,58,0.0,18,3,3,13,9,12,1,Atlético Goianiense,17100.0,518.0,26.9,0.0,1.0,4.0,0.0,0,42,5,2,4,2,12,9,2,2022,2.Rodada
56.000,31.783,SC Internacional,97050.0,2370.0,25.3,4.0,3.0,9.0,2,51,142000.0,18,8,2,8,12,15,0,Fortaleza EC,47150.0,1630.0,30.0,2.0,1.0,10.0,34119.0,1,49,7,2,3,5,15,13,3,2022,2.Rodada
42.372,17.305,Athletico Paranaense,38300.0,1200.0,26.3,1.0,3.0,8.0,0,44,0.0,12,6,4,2,13,9,1,Atlético Mineiro,87500.0,3020.0,27.1,3.0,2.0,7.0,85000.0,1,56,17,10,3,5,9,14,0,2022,2.Rodada
60.326,33.734,Ceará SC,25600.0,731.0,28.5,0.0,0.0,5.0,1,65,10236.0,18,7,0,4,15,16,1,Botafogo FR,119000.0,3970.0,25.8,4.0,3.0,5.0,56417.0,3,35,11,5,3,2,16,15,2,2022,2.Rodada
13.212,8.040,RB Bragantino,66600.0,2300.0,25.0,4.0,0.0,7.0,1,33,0.0,15,8,6,6,11,13,1,São Paulo FC,76850.0,2260.0,27.0,7.0,0.0,7.0,151724.0,1,67,24,12,2,9,12,12,2,2022,3.Rodada
42.372,22.659,Athletico Paranaense,38300.0,1200.0,26.3,1.0,3.0,8.0,1,41,0.0,10,5,6,6,9,15,2,CR Flamengo,201250.0,6490.0,27.0,12.0,1.0,7.0,109442.0,0,59,11,3,1,5,15,10,1,2022,3.Rodada
82.238,16.176,Fluminense FC,66750.0,1850.0,28.2,6.0,2.0,9.0,0,57,48280.0,12,4,4,5,12,15,4,SC Internacional,97050.0,2370.0,25.3,4.0,3.0,9.0,142000.0,1,43,12,4,2,4,14,12,2,2022,3.Rodada
43.600,23.973,SE Palmeiras,228450.0,7370.0,25.8,7.0,1.0,8.0,3,44,175974.0,20,9,1,12,13,13,3,SC Corinthians,111250.0,3370.0,26.4,5.0,2.0,10.0,116188.0,0,56,7,3,4,3,13,13,0,2022,3.Rodada
23.018,19.974,Atlético Mineiro,87500.0,3020.0,27.1,3.0,2.0,7.0,2,61,85000.0,20,12,2,3,8,10,0,Coritiba FC,16500.0,569.0,27.8,1.0,0.0,4.0,38000.0,2,39,11,5,3,3,9,8,0,2022,3.Rodada
20.120,10.374,Santos FC,88750.0,2610.0,26.7,3.0,2.0,8.0,3,39,70773.0,18,5,2,3,8,16,2,América Mineiro,13830.0,419.0,26.2,0.0,0.0,2.0,1225.0,0,61,19,11,4,8,15,8,1,2022,3.Rodada
23.726,3.920,EC Juventude,15130.0,445.0,28.1,1.0,0.0,4.0,0,57,3020.0,13,8,3,6,19,18,2,Cuiabá EC,12500.0,417.0,24.8,0.0,0.0,1.0,0.0,1,43,10,4,2,7,15,19,1,2022,3.Rodada
13.000,4.427,Atlético Goianiense,17100.0,518.0,26.9,0.0,1.0,4.0,1,38,0.0,9,7,2,2,5,11,2,Botafogo FR,119000.0,3970.0,25.8,4.0,3.0,5.0,56417.0,1,62,17,4,1,7,11,5,2,2022,3.Rodada
17.800,5.883,Avaí FC,8150.0,313.0,29.7,0.0,0.0,1.0,3,41,9327.0,14,6,3,3,16,20,0,Goiás EC,13800.0,460.0,28.1,0.0,0.0,3.0,0.0,2,59,18,4,1,5,20,20,3,2022,3.Rodada
60.326,37.372,Fortaleza EC,47150.0,1630.0,30.0,2.0,1.0,10.0,0,41,34119.0,11,6,6,4,17,18,0,Ceará SC,25600.0,731.0,28.5,0.0,0.0,5.0,10236.0,1,59,19,7,3,1,16,18,2,2022,3.Rodada
78.838,69.997,CR Flamengo,201250.0,6490.0,27.0,12.0,1.0,7.0,0,56,109442.0,17,9,2,9,21,15,1,SE Palmeiras,228450.0,7370.0,25.8,7.0,1.0,8.0,175974.0,0,44,10,3,2,6,14,21,1,2022,4.Rodada
25.000,2.433,América Mineiro,13830.0,419.0,26.2,0.0,0.0,2.0,1,46,1225.0,7,4,5,6,12,19,4,Athletico Paranaense,38300.0,1200.0,26.3,1.0,3.0,8.0,0.0,0,54,13,5,2,11,18,12,3,2022,4.Rodada
60.326,23.211,Ceará SC,25600.0,731.0,28.5,0.0,0.0,5.0,0,56,10236.0,14,6,5,5,19,11,4,RB Bragantino,66600.0,2300.0,25.0,4.0,0.0,7.0,0.0,1,44,18,8,4,4,10,20,0,2022,4.Rodada
14.525,10.165,Goiás EC,13800.0,460.0,28.1,0.0,0.0,3.0,2,31,0.0,7,3,3,0,14,21,0,Atlético Mineiro,87500.0,3020.0,27.1,3.0,2.0,7.0,85000.0,2,69,21,11,0,10,20,15,2,2022,4.Rodada
42.968,4.517,Cuiabá EC,12500.0,417.0,24.8,0.0,0.0,1.0,1,51,0.0,17,7,6,4,14,12,1,Atlético Goianiense,17100.0,518.0,26.9,0.0,1.0,4.0,0.0,1,49,14,6,4,6,11,14,0,2022,4.Rodada
46.931,34.734,Botafogo FR,119000.0,3970.0,25.8,4.0,3.0,5.0,1,61,56417.0,17,7,3,6,14,14,2,EC Juventude,15130.0,445.0,28.1,1.0,0.0,4.0,3020.0,1,39,8,4,3,4,13,17,3,2022,4.Rodada
49.205,37.018,SC Corinthians,111250.0,3370.0,26.4,5.0,2.0,10.0,1,56,116188.0,6,2,5,9,14,14,1,Fortaleza EC,47150.0,1630.0,30.0,2.0,1.0,10.0,34119.0,0,44,15,5,3,4,13,14,4,2022,4.Rodada
40.502,24.622,Coritiba FC,16500.0,569.0,27.8,1.0,0.0,4.0,3,55,38000.0,20,7,2,8,14,13,1,Fluminense FC,66750.0,1850.0,28.2,6.0,2.0,9.0,48280.0,2,45,7,3,5,1,13,16,2,2022,4.Rodada
56.000,23.823,SC Internacional,97050.0,2370.0,25.3,4.0,3.0,9.0,0,60,142000.0,23,11,4,18,16,15,0,Avaí FC,8150.0,313.0,29.7,0.0,0.0,1.0,9327.0,0,40,11,2,3,2,15,16,0,2022,4.Rodada
72.039,36.746,São Paulo FC,76850.0,2260.0,27.0,7.0,0.0,7.0,2,57,151724.0,10,5,2,2,7,15,2,Santos FC,88750.0,2610.0,26.7,3.0,2.0,8.0,70773.0,1,43,8,3,2,4,15,8,0,2022,4.Rodada
23.018,14.629,Atlético Mineiro,87500.0,3020.0,27.1,3.0,2.0,7.0,1,69,85000.0,23,9,7,11,22,7,3,América Mineiro,13830.0,419.0,26.2,0.0,0.0,2.0,1225.0,2,31,12,1,7,3,6,22,3,2022,5.Rodada
