capacidade_estadio,publico_estadio,time_casa,gols_casa,posse_casa,tentativas_casa,chutes_fora_casa,defesa_casa,escanteios_casa,cobrancas_falta_casa,faltas_cometidas_casa,impedimentos_casa,time_fora,gols_fora,posse_fora,tentativas_fora,chutes_fora_fora,defesa_fora,escanteios_fora,cobrancas_falta_fora,faltas_cometidas_fora,impedimentos_fora,ano,fase
,75.000 esgotado,FC Liverpool,0,54,24,6,0,6,6,13,1,Real Madrid CF,1,46,4,2,9,2,12,7,4,2022,final
,21.872 esgotado,FC Villarreal,2,44,5,2,2,1,13,18,5,FC Liverpool,3,56,15,6,0,2,16,14,4,2022,semifinais - Jogos de volta
81.044,61.416,Real Madrid CF,3,45,14,5,8,3,16,14,3,Manchester City FC,1prorr.,55,15,4,2,9,14,18,3,2022,semifinais - Jogos de volta
55.017,52.217,Manchester City FC,4,60,16,6,2,5,5,11,3,Real Madrid CF,3,40,11,4,1,3,10,5,2,2022,Semifinais - Jogos de ida
54.074,51.586,FC Liverpool,2,73,19,8,0,10,6,9,4,FC Villarreal,0,27,1,1,5,2,9,7,3,2022,Semifinais - Jogos de ida
,70.000 esgotado,FC Bayern Munique,1,68,23,12,0,6,8,11,5,FC Villarreal,1,32,4,3,3,0,11,8,1,2022,quartas de final - Jogos de volta
,59.839 esgotado,Real Madrid CF,2,44,10,5,4,1,19,17,0,Chelsea FC,3prorr.,56,28,12,2,10,17,20,1,2022,quartas de final - Jogos de volta
65.000,59.633,SL Benfica,1,35,9,5,5,2,15,7,4,FC Liverpool,3,65,17,5,2,6,7,15,1,2022,Quartas de final - Jogos de ida
55.017,52.018,Manchester City FC,1,71,15,7,0,9,13,8,1,Atlético de Madrid,0,29,0,0,1,0,8,13,2,2022,Quartas de final - Jogos de ida
,25.000 esgotado,FC Bayern Munique,7,72,18,4,3,6,14,8,0,Red Bull Salzburg,1,28,7,2,2,2,6,14,2,2022,Oitavas de final - Jogos de volta
54.074,51.747,FC Liverpool,0,63,12,6,2,8,9,10,2,Inter de Milão,1,37,6,1,2,2,10,9,5,2022,Oitavas de final - Jogos de volta
81.044,59.895,Real Madrid CF,3,44,21,9,3,5,9,12,2,FC Paris Saint-Germain,1,56,10,3,4,2,12,9,2,2022,Oitavas de final - Jogos de volta
55.017,51.213,Manchester City FC,0,69,14,4,3,7,11,9,3,Sporting CP,0,31,6,3,4,2,7,12,0,2022,Oitavas de final - Jogos de volta
74.879,73.008,Manchester United FC,0,60,11,5,2,5,12,14,1,Atlético de Madrid,1,40,8,5,5,2,14,12,2,2022,Oitavas de final - Jogos de volta
55.600,54.066,AFC Ajax,0,69,16,11,0,10,11,13,4,SL Benfica,1,31,4,3,2,4,13,11,2,2022,Oitavas de final - Jogos de volta
41.507,30.385,Juventus FC,0,58,14,5,0,7,4,6,2,FC Villarreal,3,42,8,3,5,2,4,5,0,2022,Oitavas de final - Jogos de volta
50.186,49.048,LOSC Lille,1,44,8,5,2,4,17,15,6,Chelsea FC,2,56,8,2,0,1,15,20,1,2022,Oitavas de final - Jogos de volta
49.691,47.443,FC Paris Saint-Germain,1,57,21,7,0,7,12,14,1,Real Madrid CF,0,43,3,2,8,1,12,12,0,2022,Oitavas de final - Jogos de ida
50.080,48.129,Sporting CP,0,37,3,2,2,0,16,9,2,Manchester City FC,5,63,15,4,0,6,9,16,3,2022,Oitavas de final - Jogos de ida
30.188,30.000,Red Bull Salzburg,1,28,11,1,8,5,11,14,2,FC Bayern Munique,1,72,22,5,4,10,14,11,2,2022,Oitavas de final - Jogos de ida
,37.918 esgotado,Inter de Milão,0,46,9,7,0,7,9,10,3,FC Liverpool,2,54,13,8,0,7,10,9,1,2022,Oitavas de final - Jogos de ida
23.500,17.686,FC Villarreal,1,54,9,4,1,4,10,13,0,Juventus FC,1,46,7,4,2,0,13,12,3,2022,Oitavas de final - Jogos de ida
40.853,38.832,Chelsea FC,2,51,9,2,2,4,6,10,0,LOSC Lille,0,49,15,7,2,6,9,6,0,2022,Oitavas de final - Jogos de ida
,63.273 esgotado,Atlético de Madrid,1,37,13,9,1,8,15,19,2,Manchester United FC,1,63,7,3,0,3,17,16,1,2022,Oitavas de final - Jogos de ida
,65.647 esgotado,SL Benfica,2,40,17,7,7,7,16,13,0,AFC Ajax,2,60,11,3,3,2,12,18,3,2022,Oitavas de final - Jogos de ida
