capacidade_estadio,publico_estadio,time_casa,gols_casa,posse_casa,tentativas_casa,chutes_fora_casa,defesa_casa,escanteios_casa,cobrancas_falta_casa,faltas_cometidas_casa,impedimentos_casa,time_fora,gols_fora,posse_fora,tentativas_fora,chutes_fora_fora,defesa_fora,escanteios_fora,cobrancas_falta_fora,faltas_cometidas_fora,impedimentos_fora,ano,fase
78.838,69.232,CA Boca Juniors,1,47,15,4,4,7,13,14,1,Fluminense FC,2prorr.,53,13,5,4,3,13,14,0,2023,final
50.848,50.002,SC Internacional,1,35,17,6,1,8,2,9,1,Fluminense FC,2,65,8,3,3,3,9,3,3,2023,semifinais - Jogos de volta
43.713,40.398,SE Palmeiras,3,68,24,6,2,6,13,14,1,CA Boca Juniors,5pen.,32,3,0,7,1,14,13,1,2023,semifinais - Jogos de volta
82.238,67.515,Fluminense FC,2,54,10,4,5,5,11,11,0,SC Internacional,2,46,12,3,3,5,8,12,3,2023,Semifinais - Jogos de ida
54.000,0,CA Boca Juniors,0,56,18,7,2,3,16,13,1,SE Palmeiras,0,44,9,5,7,1,13,16,1,2023,Semifinais - Jogos de ida
50.848,49.137,SC Internacional,2,64,16,9,4,2,16,9,4,Bolívar La Paz,0,36,10,2,3,2,7,17,2,2023,quartas de final - Jogos de volta
51.389,0,Racing Club,1,53,11,8,1,4,14,8,4,CA Boca Juniors,4pen.,47,5,2,0,4,8,15,3,2023,quartas de final - Jogos de volta
43.713,37.785,SE Palmeiras,0,62,13,5,3,6,15,12,0,Deportivo Pereira,0,38,10,4,7,2,10,16,3,2023,quartas de final - Jogos de volta
40.799,34.793,Olimpia Asunción,1,48,21,8,1,9,11,16,3,Fluminense FC,3,52,7,3,4,0,16,12,1,2023,quartas de final - Jogos de volta
42.000,0,Bolívar La Paz,0,63,23,11,0,15,6,8,3,SC Internacional,1,37,6,4,5,2,8,6,0,2023,Quartas de final - Jogos de ida
57.200,0,CA Boca Juniors,0,57,14,7,3,11,11,12,3,Racing Club,0,43,7,0,5,2,12,11,0,2023,Quartas de final - Jogos de ida
30.297,0,Deportivo Pereira,0,40,10,4,1,5,7,15,2,SE Palmeiras,4,60,9,3,2,4,13,7,0,2023,Quartas de final - Jogos de ida
82.238,64.047,Fluminense FC,2,70,18,3,0,6,9,8,2,Olimpia Asunción,0,30,4,3,4,1,8,12,5,2023,Quartas de final - Jogos de ida
82.238,61.396,Fluminense FC,2,67,8,2,0,3,17,14,0,AA Argentinos Juniors,0,33,5,2,1,7,14,18,1,2023,Oitavas de final - Jogos de volta
42.372,31.497,Athletico Paranaense,4,65,18,10,1,8,11,15,3,Bolívar La Paz,5pen.,35,12,5,1,2,12,13,1,2023,Oitavas de final - Jogos de volta
50.848,50.479,SC Internacional,11,55,12,5,2,8,11,15,4,CA River Plate,9pen.,45,8,3,1,5,14,15,1,2023,Oitavas de final - Jogos de volta
